Gene	mean_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENST00000653853.1	0.0303013087301585	0.0430225806424144	0.123865600309492	-0.846546120208303	0.00200719696628805	0.00320066543272959
ENST00000700930.1	0.0302625544184078	0.0409394169601495	0.135659022159015	-0.914868211253582	0.000207144306702734	0.000516402004033576
ENST00000518528.2	0.0295661771919619	0.0392065709886813	0.151355610429218	-0.868682944932068	0.00110695724239994	0.00192089639122342
ENST00000660438.1	0.0269181423558367	0.0371133838816494	0.069257770690676	-0.949943303007978	2.58522046235451e-05	0.000134583535834338
ENST00000522875.5	0.0256498255216656	0.0399026056941981	0.110572518657684	-0.920121986339529	0.00016159878974208	0.000446921652880439
ENST00000504719.7	0.0254567552925023	0.0339901402748681	0.07375467167054	-0.717503977760506	0.019484476378255	0.0242869881616278
ENST00000652883.1	0.0245318479952273	0.0417825968017125	0.0987312416181772	-0.983687032881346	3.03796542758957e-07	5.97466534092616e-06
ENST00000654091.1	0.0240159600015691	0.0408347196709351	0.0701862670260055	-0.988689495520885	7.06316255344321e-08	5.97466534092616e-06
ENST00000520913.2	0.0229587063591133	0.0397143848693986	0.0818551398346105	-0.983155769258951	3.45125580416977e-07	6.10872277338049e-06
ENST00000658158.1	0.022174780375626	0.0293267733621848	0.078362033394952	-0.928203358679327	0.000106531310331662	0.00034283712597644
ENST00000668479.1	0.0220465435585908	0.0392881070610102	0.0684102178315642	-0.903062231345191	0.000343173499702851	0.000749897647498823
ENST00000650846.1	0.0212107302981051	0.0288874222628651	0.0438371573078216	-0.869351359340184	0.00108550467582322	0.00190379099529404
ENST00000656077.1	0.0211478856813803	0.03371826166508	0.0835633816467026	-0.892405049069305	0.000513972484792171	0.00107027211539076
ENST00000667714.1	0.0208837355610119	0.0312499597060867	0.0915874985256734	-0.963349178314001	7.55236299423265e-06	6.67518783224443e-05
ENST00000654324.1	0.0206810530331199	0.0325505834110835	0.0184629612382046	-0.963886385343468	7.1238633138402e-06	6.63644108710377e-05
ENST00000692980.1	0.0205948615827679	0.0385899331020845	0.0877382845403549	-0.8975918979379	0.000424541763123908	0.000905348097264238
ENST00000664265.1	0.0205493936434281	0.0336039391286984	0.0686516408459795	-0.864262748291023	0.00125666954611752	0.00213875490060386
ENST00000523068.2	0.02051450957144	0.0304427976487706	0.0662826735154862	-0.672890946927535	0.0329825180896728	0.0384072743544216
ENST00000669272.1	0.0201954761851898	0.0324296458298532	0.0998878514075933	-0.924832092721053	0.000127463301192158	0.000388982832948482
ENST00000669132.1	0.0191615933097342	0.0380343294464152	0.0808230245683763	-0.943448719612828	4.17798246707058e-05	0.000177882685751526
ENST00000653990.1	0.0191594874014922	0.0264450331072206	0.0704896553344917	-0.907827078831084	0.000282180554302976	0.000644177616113506
ENST00000658065.1	0.0191194698755203	0.0383639850800949	0.0630776103514235	-0.947031495340034	3.22978069247746e-05	0.000144037037203699
ENST00000524165.6	0.0189350006198413	0.0308537367369821	0.0850465537956062	-0.9418927792408	4.64824498715085e-05	0.000191334735517605
ENST00000657693.1	0.0188765195207653	0.0330256060884982	0.080151260285749	-0.94694306977374	3.25105011672499e-05	0.000144037037203699
ENST00000658840.1	0.0188755528183018	0.0454942276685911	0.14510182647306	-0.794186718485625	0.00607263785325879	0.00859885520021445
ENST00000662709.1	0.0184324969281518	0.0337913938871971	0.078633094899253	-0.889436881909919	0.000570955725789261	0.00116159958005401
ENST00000662766.1	0.0181018118662054	0.0342332441598489	0.0737375946121223	-0.950741620588611	2.42657126666427e-05	0.000130152458848356
ENST00000660200.1	0.0180945974515093	0.0393503152257437	-0.0114219183048519	-0.785864432358257	0.00703953544861779	0.00981100609767992
ENST00000653522.1	0.0162930149998415	0.0321121778573301	0.10456449651993	-0.953111884063245	1.99793377618184e-05	0.000114075573672318
ENST00000657297.1	0.0160441336413351	0.0217608808193418	0.0803475094931162	-0.618590536254148	0.0565774577512922	0.0629824529684196
ENST00000658305.1	0.0156908145101483	0.030083933159759	0.0569753229212266	-0.767545104055901	0.00954453837631507	0.0130959945163393
ENST00000669416.1	0.0155151211246303	0.0256633441747536	0.036093662971621	-0.985269911531806	2.02349458207242e-07	5.97466534092616e-06
ENST00000666147.1	0.0154441054477181	0.0282793042762451	0.0951243713418222	-0.984568915012223	2.43500087217054e-07	5.97466534092616e-06
ENST00000658350.1	0.0151853598735406	0.0328154064176364	0.112086135712049	-0.956645079956541	1.46674889436007e-05	9.11763619176067e-05
ENST00000668215.1	0.0150737363521566	0.0276809219838963	0.0416208773635371	-0.969583790370858	3.60959055750846e-06	4.56355377627855e-05
ENST00000652816.1	0.0146960506746729	0.0272632398372413	0.0350125702878072	-0.907513757082237	0.000285925731062738	0.000644177616113506
ENST00000660912.1	0.0145098475508702	0.0298239354029445	0.0952453304046406	-0.936667538019576	6.51762078817549e-05	0.000245450825427034
ENST00000666776.1	0.0144771178055574	0.02893356878464	0.0613495465446175	-0.855604762391125	0.00159177474408857	0.00265796348777054
ENST00000685634.1	0.0144538513258954	0.0290369661308114	0.0646618063259177	-0.989491442996181	5.26821208291732e-08	5.97466534092616e-06
ENST00000655148.1	0.014140963899329	0.0250990723411448	0.0840455589145232	-0.877307412168247	0.000852771107254385	0.00157229672900027
ENST00000665737.1	0.0134077525445604	0.0342267741665347	0.0827449416777879	-0.973583884443888	2.06357367313689e-06	3.04377116787691e-05
ENST00000651568.1	0.0130431927491866	0.0221837677331956	0.0599107534461429	-0.866196650958424	0.00118946790856848	0.00204403708559826
ENST00000663059.1	0.0130282870017511	0.0243566348949461	0.0802891529405829	-0.958213176445725	1.26820599189344e-05	8.59578687830878e-05
ENST00000667149.1	0.0129282266587029	0.0227172620941366	0.0204734728197383	-0.538799428976195	0.108057419458715	0.115916140873894
ENST00000660456.1	0.0128029258138437	0.0370726459257054	0.096090172377823	-0.956443509322538	1.49384999752011e-05	9.11763619176067e-05
ENST00000702405.1	0.0126370518780652	0.0274547493347996	0.0903165274661889	-0.985232543863113	2.04401370433962e-07	5.97466534092616e-06
ENST00000668098.1	0.0126174769950371	0.0228798972864257	0.0468482210746805	-0.916526484074084	0.000191863545188288	0.00049940952203422
ENST00000659106.1	0.012127805914214	0.0236482650654368	0.0387129372664873	-0.92906151324835	0.000101636018611669	0.000337827326843565
ENST00000657449.1	0.0116659252161822	0.0259160581343295	0.0864209897008908	-0.965301328168703	6.08177335271615e-06	6.63644108710377e-05
ENST00000667204.1	0.0111683485696141	0.0268630868039061	0.0558050260378006	-0.876702993252864	0.000869039508639867	0.00158577312401295
