Gene	mirnaTG
ENSG00000183648.11	no
ENSG00000174373.17	no
ENSG00000174799.12	no
ENSG00000151116.17	no
ENSG00000103037.12	no
ENSG00000215114.10	no
ENSG00000100647.8	no
ENSG00000145604.17	yes
ENSG00000104635.15	no
ENSG00000167562.14	no
ENSG00000127022.16	yes
ENSG00000181315.11	no
ENSG00000109320.14	no
ENSG00000146247.15	yes
ENSG00000156471.13	no
ENSG00000189376.12	yes
ENSG00000123154.12	no
ENSG00000176108.9	no
ENSG00000142949.17	yes
ENSG00000170043.12	no
ENSG00000213096.11	yes
ENSG00000188846.14	no
ENSG00000146085.8	no
ENSG00000109572.16	yes
ENSG00000213465.8	no
ENSG00000117139.18	yes
ENSG00000237036.7	no
ENSG00000262879.7	no
ENSG00000198931.11	no
ENSG00000135164.19	no
ENSG00000151503.14	yes
ENSG00000173465.8	no
ENSG00000169567.13	no
ENSG00000185825.17	no
ENSG00000105643.11	no
ENSG00000081014.11	no
ENSG00000048162.22	no
ENSG00000107223.13	no
ENSG00000173451.7	no
ENSG00000156873.16	no
ENSG00000139133.7	no
ENSG00000176340.4	no
ENSG00000043143.22	no
ENSG00000182150.19	no
ENSG00000105669.14	no
ENSG00000109787.13	no
ENSG00000145725.21	no
ENSG00000121879.6	no
ENSG00000117597.18	no
ENSG00000067992.17	no
ENSG00000198862.14	yes
ENSG00000217128.13	yes
ENSG00000198265.12	no
ENSG00000135441.8	no
ENSG00000031003.11	no
ENSG00000185728.17	no
ENSG00000113240.14	no
ENSG00000291178.1	no
ENSG00000111775.3	no
ENSG00000140264.22	yes
ENSG00000182484.15	no
ENSG00000140386.13	no
ENSG00000075539.15	no
ENSG00000130024.15	no
ENSG00000166987.15	no
ENSG00000258744.3	no
ENSG00000054267.22	no
ENSG00000131669.10	no
ENSG00000240849.11	no
ENSG00000146067.17	no
ENSG00000120458.13	yes
ENSG00000174529.7	no
ENSG00000063241.8	no
ENSG00000142534.7	no
ENSG00000187531.14	no
ENSG00000172469.17	no
ENSG00000026297.17	no
ENSG00000111877.18	no
ENSG00000071189.21	no
ENSG00000011478.13	no
ENSG00000176973.8	no
ENSG00000160213.9	no
ENSG00000107815.10	no
ENSG00000119778.15	no
ENSG00000133872.14	no
ENSG00000112234.9	no
ENSG00000175711.9	no
ENSG00000163516.14	no
ENSG00000039319.17	no
ENSG00000176101.12	no
ENSG00000186010.19	no
ENSG00000180198.17	no
ENSG00000108639.8	no
ENSG00000178971.17	no
ENSG00000125835.20	no
ENSG00000186174.13	yes
ENSG00000177873.14	no
ENSG00000080345.18	yes
ENSG00000105258.9	no
ENSG00000106246.18	no
ENSG00000112159.13	no
ENSG00000065060.18	no
ENSG00000141279.18	yes
ENSG00000077348.10	no
ENSG00000130856.18	yes
ENSG00000171988.20	yes
ENSG00000198690.10	no
ENSG00000169914.6	no
ENSG00000135940.7	no
ENSG00000278259.5	no
ENSG00000072364.13	yes
ENSG00000133026.14	yes
ENSG00000166441.13	no
ENSG00000188243.14	no
ENSG00000278129.2	no
ENSG00000168701.19	no
ENSG00000183684.8	no
ENSG00000173064.14	no
ENSG00000128626.12	no
ENSG00000247596.10	no
ENSG00000157106.18	yes
ENSG00000166595.12	no
ENSG00000135541.22	no
ENSG00000256087.7	no
ENSG00000115274.15	no
ENSG00000164300.17	no
ENSG00000188636.4	no
ENSG00000006125.18	yes
ENSG00000038382.23	no
ENSG00000121903.15	no
ENSG00000075391.18	no
ENSG00000148450.13	no
ENSG00000172932.16	no
ENSG00000168758.11	no
ENSG00000103599.20	no
ENSG00000117691.10	no
ENSG00000117410.14	no
ENSG00000138688.17	no
ENSG00000095951.17	yes
ENSG00000272345.1	no
ENSG00000150779.12	no
ENSG00000182504.12	no
ENSG00000067141.17	no
ENSG00000178338.11	yes
ENSG00000180992.7	no
ENSG00000259994.1	no
ENSG00000178057.15	no
ENSG00000180855.16	no
