Gene	aver_adj_r_sq	max_adj_r_sq	mean_cor	cor_value	cor_pvalue	cor_padj_BH
ENSG00000274363.1	0.00488605802102832	0.0230592804138791	0.00374400331647234	-0.754749810344708	0.0116288640228733	0.0145135252575759
ENSG00000145002.13	0.00488019527623972	0.0262741921189132	0.0701323842564336	-0.376985094549608	0.282887811347365	0.294511117334706
ENSG00000171431.4	0.00487428442741615	0.0213029302603739	0.0297242708600319	-0.961781598288508	8.91271001675244e-06	5.8559215972651e-05
ENSG00000281131.1	0.00486306221317075	0.013057309308558	0.000527768050153594	-0.905562935218968	0.000310071617496025	0.000650683429112325
ENSG00000272744.1	0.00486170657639933	0.0157748795547341	0.0454136934374776	-0.745472402111182	0.0133267207612418	0.0164458198151135
ENSG00000254102.2	0.00485929032125995	0.0235128388744759	0.0134006762630248	-0.642143393866063	0.0452970783469443	0.0513597466650295
ENSG00000145107.16	0.00485401621140424	0.0140556928835494	-0.137494923814707	-0.620164141205086	0.0557713881898077	0.0625426012786766
ENSG00000236751.4	0.00485298381850275	0.0166421022607633	0.0107793756873141	-0.894422711275935	0.000477692457475478	0.000912686312881672
ENSG00000230896.1	0.00485191332170226	0.0134972608790119	0.0614848486519972	-0.931858813561537	8.68269555350549e-05	0.000250825306360947
ENSG00000237529.2	0.00485136867358262	0.0147262719149674	0.0230568061999289	-0.410558228464962	0.238589719251172	0.250044810617229
ENSG00000185155.12	0.00484918047760886	0.0112937654780357	0.0158347689165733	-0.782964146881422	0.00740073617505629	0.00961578908964175
ENSG00000271259.1	0.00484672809722528	0.0181244436892917	0.0190207907068134	0.046498361991291	0.898504466125282	0.901596122973147
ENSG00000175779.5	0.00484090070996063	0.0239042530135846	0.0132019631342924	-0.555407657735779	0.0955589572431597	0.104092030060641
ENSG00000286691.1	0.00483827410358765	0.0132585141452326	0.0387599315729526	-0.794103261378295	0.00608183532231175	0.0080415088869967
ENSG00000260762.1	0.00483495961447827	0.0216086423748872	0.00277231977573237	-0.769720098431277	0.00921852789474716	0.0117304276803467
ENSG00000106012.19	0.00483414340116755	0.0147516966201189	0.0397288400830893	-0.927994206820105	0.000107750320078859	0.000293119969726591
ENSG00000231776.5	0.00482983996292916	0.0199996496319251	0.0275524268628483	-0.968291500211783	4.25656354297457e-06	3.86589661080795e-05
ENSG00000231133.8	0.00482878535762694	0.0176684674779227	-0.0651198042214893	-0.86738203398401	0.00114959146477884	0.00187711099453499
ENSG00000274461.2	0.0048238152555573	0.0134460536315317	0.0439086621036788	-0.710023468968624	0.0214162005857262	0.0254837688288833
ENSG00000259818.1	0.00482302892524111	0.0160689889766814	-0.0423378810003382	-0.906108101524491	0.000303178784031844	0.000639374785087502
ENSG00000137440.5	0.00482180776388412	0.0127882327575417	0.0262189435549747	-0.95631595349114	1.51119098069608e-05	7.96113863564045e-05
ENSG00000109272.4	0.00481976262983682	0.0194502718386845	0.0421229297314408	-0.977930966038248	1.0105626458633e-06	1.92793381363679e-05
ENSG00000130988.13	0.00481800485266469	0.0138246196899956	0.0476037197549242	-0.949583095274919	2.65926922071183e-05	0.000112254815388993
ENSG00000260394.2	0.00481427541734809	0.0136367531220788	0.0623710571633415	-0.788393510517153	0.00673492994855066	0.00882125616171696
ENSG00000112137.19	0.0048132572365173	0.016440492947304	-0.00609387213130939	-0.857548884539544	0.00151148060618121	0.00237112608477419
ENSG00000240729.1	0.00480927048329853	0.0163593640598648	0.00920259435867315	-0.958686990121281	1.21235680266864e-05	6.93831101797781e-05
ENSG00000214595.13	0.00480506248896851	0.0181113888758765	-0.0124327156280881	-0.942001243402985	4.61424955642357e-05	0.000161697669672402
ENSG00000267033.1	0.00480123304810215	0.0205898412107077	0.0487229665821993	-0.957372532185208	1.37197287789257e-05	7.49754534314715e-05
ENSG00000165280.18	0.00479736733636199	0.0164597324820058	0.0663474443334413	-0.913885989741723	0.000216607161275468	0.000493606713170679
ENSG00000187068.3	0.00479736430204366	0.0124602556535128	0.0223179339239983	-0.74814987198354	0.0128200201556612	0.0158655325966787
ENSG00000225439.4	0.00479659015324045	0.0192450781823381	0.0165535061185138	-0.817694041469777	0.00385360710089778	0.00535142354668779
ENSG00000050344.9	0.00479377829313923	0.012894208520003	0.0730713947174664	-0.882531009927571	0.000721271991635004	0.001273533871013
ENSG00000287769.1	0.00479283623591161	0.0100646109708907	0.0519474989405805	-0.944881425188187	3.77703481366956e-05	0.000141404615860566
ENSG00000183798.5	0.00478366627362352	0.0131529466572331	-0.0262485947378226	-0.374923834383586	0.285742388040209	0.297432856111547
ENSG00000164100.9	0.00478320194204943	0.0203583719925702	0.0286371490206401	-0.723501403938449	0.018025531509773	0.021712603999
ENSG00000232027.2	0.00478052961884654	0.0157389875853542	0.017175973772672	-0.691077271374638	0.0268917587171584	0.0314885795548135
ENSG00000152207.8	0.00477588899244001	0.0455798251561292	0.130757686773798	-0.571002366943321	0.0846987207347106	0.0928448517348549
ENSG00000124225.16	0.00477572969897615	0.015471857729117	0.0244295174268907	-0.971831229714716	2.66252126139836e-06	3.04910714151086e-05
ENSG00000259462.3	0.00477007386887862	0.0171557427200033	0.0284065873291363	-0.986862888540682	1.28266903199083e-07	9.09862569218287e-06
ENSG00000251226.2	0.00476943081597392	0.0122530847145865	0.0404225044456261	-0.948866159587504	2.81132161223909e-05	0.000116570399566692
