	Basal	Her2	LumA	LumB	Normal
cf122ae0-0be8-43dd-a0b9-01fff585186f	0	0	0.531163434903047	0	0.468836565096953
cfe1c805-2211-419c-bf9a-e0c8b5020dce	0	0	0.350523864959255	0	0.649476135040745
d0ee5ff7-a49a-4633-93a6-40c9e29fb0b7	0.379433383286948	0.44565760365375	0	0.174909013059302	0
d27304e0-1b0b-4fc3-8e0d-af2c305d30f8	0.701381138392857	0	0	0	0.298618861607143
d504a28c-f8e7-4c5e-b01a-23b4cdd1dd8a	0	0.595649197535559	0.00889936867726478	0.395451433787176	0
d5a1a331-cd5b-448f-adf6-ea393565ef26	0	0	0.438189845474614	0.561810154525386	0
d7eb3fb0-7bfe-4f69-b298-41dde09902e6	0	0	0.51504914004914	0	0.48495085995086
d8edd309-518d-4358-8245-9e92d7af4441	0	0	0.665035917760713	0	0.334964082239287
db5dab56-838e-4784-a7cf-f05296e356f7	0	0	0.641177911105669	0	0.358822088894331
e3c0a094-5504-4b74-9e0d-c73e84dc3901	0	0	0.630623306233062	0.369376693766938	0
e682e28e-0611-4e92-899c-637fde17423d	0	0.200592519442044	0.240093815578324	0.559313664979632	0
e869b178-9abe-44ca-ae6b-a6caae1834fb	0.153783803699064	0.537101171615946	0	0.30911502468499	0
e97a2bf2-c5bd-4dbf-9940-450a8a99e9df	0	0	0.748366247755835	0.0206104129263914	0.231023339317774
ea030b7d-26eb-4f0e-b7b9-c6b165061118	0	0	0.735067873303167	0	0.264932126696833
ea16db3d-eb2a-44b3-bf22-258e583dbcf4	0	0	0.880160476252103	0.0806263750485311	0.0392131486993659
ec60e081-f075-4c72-b1e7-62e1f1429fc1	1	0	0	0	0
f13d5df0-7293-4453-942f-2b49a3d33057	0	0	0.555767209668944	0	0.444232790331056
f3f0919f-f9eb-4baf-aeef-c79fbafef237	0	0	0.61991521146664	0	0.38008478853336
f4d60a0f-dc11-4005-8d59-7511ba4de8b1	0	0	0.676115525672372	0.323884474327628	0
f7c6320e-0c39-4b92-9a25-fd4e03b70362	1	0	0	0	0
00a26384-1b1c-4db4-9664-75fb9b3febdb	0	0	0.567341467923831	0	0.432658532076169
01661d94-fc16-4456-95cf-a5fa4e1e196c	0	0.568386145910096	0	0.431613854089904	0
