Gene	mirnaTG
ENSG00000224094.1	no
ENSG00000237522.1	no
ENSG00000133247.14	no
ENSG00000286223.1	no
ENSG00000173457.11	no
ENSG00000168672.4	no
ENSG00000174912.7	no
ENSG00000229419.1	no
ENSG00000258682.1	no
ENSG00000225067.4	no
ENSG00000166348.20	no
ENSG00000245149.6	no
ENSG00000230551.4	no
ENSG00000078674.20	yes
ENSG00000244055.2	no
ENSG00000226763.5	no
ENSG00000138780.15	no
ENSG00000213782.7	no
ENSG00000164066.13	no
ENSG00000246922.10	no
ENSG00000280927.1	no
ENSG00000260464.1	no
ENSG00000123066.9	no
ENSG00000157306.14	no
ENSG00000229152.2	no
ENSG00000206559.8	no
ENSG00000127311.10	no
ENSG00000280067.1	no
ENSG00000288674.1	no
ENSG00000161960.16	no
ENSG00000213928.10	no
ENSG00000246451.2	no
ENSG00000198840.2	no
ENSG00000164187.7	no
ENSG00000139116.19	no
ENSG00000273058.2	no
ENSG00000163584.18	no
ENSG00000102908.23	yes
ENSG00000268218.1	no
ENSG00000196586.17	yes
ENSG00000006015.18	no
ENSG00000245156.1	no
ENSG00000285979.1	no
ENSG00000138119.17	yes
ENSG00000244932.2	no
ENSG00000156875.14	no
ENSG00000272918.1	no
ENSG00000157999.6	no
ENSG00000243364.8	no
ENSG00000273373.1	no
ENSG00000251143.1	no
ENSG00000256238.1	no
ENSG00000134909.19	yes
ENSG00000273369.1	no
ENSG00000267904.1	no
ENSG00000287562.1	no
ENSG00000271032.1	no
ENSG00000112685.14	yes
ENSG00000288663.1	no
ENSG00000166439.6	no
ENSG00000136068.16	yes
ENSG00000255585.3	no
ENSG00000198146.4	no
ENSG00000119139.21	no
ENSG00000215440.12	no
ENSG00000239264.9	no
ENSG00000213906.10	no
ENSG00000227543.5	no
ENSG00000279789.1	no
ENSG00000171017.11	no
ENSG00000197747.9	no
ENSG00000262580.5	no
ENSG00000250251.7	no
ENSG00000198589.15	yes
ENSG00000286067.1	no
ENSG00000276488.1	no
ENSG00000264577.1	no
ENSG00000180089.6	no
ENSG00000290796.1	no
ENSG00000239763.2	no
ENSG00000100852.14	yes
ENSG00000226245.1	no
ENSG00000255423.1	no
ENSG00000240303.8	no
ENSG00000249863.2	no
