Gene	mirnaTG
ENSG00000014138.10	no
ENSG00000203880.13	no
ENSG00000177888.8	yes
ENSG00000128833.13	no
ENSG00000176986.16	yes
ENSG00000262879.7	no
ENSG00000100092.24	no
ENSG00000165813.20	no
ENSG00000130255.13	no
ENSG00000189144.15	no
ENSG00000290921.1	no
ENSG00000102030.16	no
ENSG00000235016.1	no
ENSG00000266896.1	no
ENSG00000258725.2	no
ENSG00000230530.2	no
ENSG00000290762.1	no
ENSG00000007384.15	no
ENSG00000138834.15	no
ENSG00000155975.10	no
ENSG00000170430.10	no
ENSG00000266777.1	no
ENSG00000136237.20	no
ENSG00000261326.4	no
ENSG00000197603.16	no
ENSG00000124614.17	no
ENSG00000132549.20	yes
ENSG00000124074.12	no
ENSG00000283390.1	no
ENSG00000279722.1	no
ENSG00000228242.6	no
ENSG00000177200.18	yes
ENSG00000113522.14	no
ENSG00000145734.20	yes
ENSG00000224877.4	no
ENSG00000120526.12	yes
ENSG00000168061.17	no
ENSG00000230982.1	no
ENSG00000186106.11	no
ENSG00000142544.7	no
ENSG00000104093.14	no
ENSG00000128052.10	yes
ENSG00000231609.7	no
ENSG00000140043.12	no
ENSG00000250318.1	no
ENSG00000233927.5	no
ENSG00000164830.19	yes
ENSG00000115464.15	yes
ENSG00000183048.12	no
ENSG00000132849.22	no
ENSG00000145386.11	yes
ENSG00000175322.12	no
ENSG00000247903.1	no
ENSG00000253669.4	no
ENSG00000172292.15	yes
ENSG00000269399.2	no
ENSG00000125107.19	yes
ENSG00000189159.16	no
ENSG00000165886.5	no
ENSG00000111860.14	no
ENSG00000048392.13	no
ENSG00000239388.9	no
ENSG00000138780.15	no
ENSG00000197535.16	yes
ENSG00000197124.12	no
ENSG00000129003.19	yes
ENSG00000161040.19	no
ENSG00000270580.5	no
ENSG00000123607.16	no
ENSG00000248527.1	no
ENSG00000105289.15	no
ENSG00000277151.1	no
ENSG00000023516.9	yes
ENSG00000234912.12	no
ENSG00000289401.1	no
ENSG00000286067.1	no
ENSG00000148362.11	no
ENST00000656999:1	no
ENSG00000189007.16	no
ENSG00000157999.6	no
ENSG00000167994.13	no
ENSG00000145016.17	no
ENSG00000138688.17	no
ENSG00000131116.12	no
ENSG00000105538.10	no
ENSG00000253106.1	no
ENSG00000233901.8	no
ENSG00000188931.4	no
ENSG00000157077.16	yes
ENSG00000271971.1	no
ENSG00000134278.16	yes
ENSG00000235065.1	no
ENSG00000007255.10	no
ENSG00000285796.1	no
ENSG00000205133.12	no
ENSG00000067191.17	no
ENSG00000251595.7	no
ENSG00000166004.15	no
ENSG00000196458.11	yes
ENSG00000177463.16	yes
ENSG00000279837.1	no
ENSG00000179271.3	no
ENSG00000105619.14	no
ENSG00000168016.15	no
ENSG00000160072.20	no
ENSG00000123066.9	no
ENSG00000132781.21	no
ENSG00000243156.9	no
ENSG00000001461.17	no
ENSG00000175482.9	no
ENSG00000215199.3	no
ENSG00000226469.1	no
ENSG00000136149.6	yes
ENSG00000291176.1	no
ENSG00000172725.14	no
ENSG00000259366.3	no
ENSG00000196081.10	no
ENSG00000288973.1	no
ENSG00000286223.1	no
ENSG00000175756.14	no
ENSG00000272037.1	no
ENSG00000268218.1	no
ENSG00000151006.8	no
ENSG00000164961.16	no
ENSG00000197696.10	no
ENSG00000278987.1	no
ENSG00000166439.6	no
ENSG00000129422.15	yes
ENSG00000285725.1	no
ENSG00000105640.13	no
ENSG00000227741.1	no
ENSG00000220749.4	no
ENSG00000231177.4	no
ENSG00000105767.3	no
ENSG00000226167.1	no
ENSG00000230555.2	no
ENSG00000034510.6	no
ENSG00000233762.3	no
ENSG00000078177.15	yes
ENSG00000180089.6	no
ENSG00000162757.4	no
ENSG00000235703.7	no
ENSG00000198146.4	no
ENSG00000280927.1	no
ENSG00000273437.1	no
ENSG00000263069.6	no
ENSG00000283498.1	no
ENSG00000261505.1	no
ENSG00000281207.1	no
ENSG00000107890.17	no
ENSG00000285752.1	no
ENSG00000213713.3	no
ENSG00000169752.17	no
ENSG00000229152.2	no
ENSG00000142046.15	no
ENSG00000212694.8	no
ENSG00000167550.11	no
ENSG00000273218.1	no
ENSG00000258559.2	no
ENSG00000167617.3	no
ENSG00000287562.1	no
ENSG00000135913.11	no
ENSG00000263990.1	no
ENSG00000198720.13	no
ENSG00000197978.10	no
ENSG00000284862.3	no
ENSG00000246451.2	no
ENSG00000117479.15	yes
ENSG00000110841.14	yes
ENSG00000275888.1	no
ENSG00000252690.3	no
ENSG00000262580.5	no
ENSG00000171790.16	no
ENSG00000230002.3	no
ENSG00000272669.1	no
ENSG00000178175.12	no
ENSG00000174501.15	no
ENSG00000245149.6	no
ENSG00000227081.5	no
ENSG00000278864.1	no
ENSG00000265800.1	no
ENSG00000171017.11	no
ENSG00000260418.1	no
ENSG00000236439.4	no
ENSG00000285979.1	no
ENSG00000266472.6	no
ENSG00000236364.4	no
ENSG00000154485.5	no
ENSG00000151914.22	no
ENSG00000218510.9	no
ENSG00000109586.12	no
ENSG00000259668.6	no
ENSG00000089820.17	no
ENSG00000127995.17	no
ENSG00000267632.1	no
ENSG00000132405.19	no
ENSG00000071794.16	no
ENSG00000279520.1	no
ENSG00000289182.1	no
ENSG00000181722.18	no
ENSG00000175602.4	no
ENSG00000141527.19	no
ENSG00000095059.17	no
ENSG00000179899.8	no
ENSG00000262814.8	no
ENSG00000144214.10	no
ENSG00000254428.1	no
ENSG00000210151.2	no
ENSG00000104447.13	yes
ENSG00000213047.13	no
ENSG00000288850.1	no
ENSG00000270231.5	no
ENSG00000271032.1	no
ENSG00000223803.1	no
ENSG00000162924.16	no
ENSG00000050767.18	no
ENSG00000290923.1	no
ENSG00000173166.18	no
ENSG00000288873.2	no
ENSG00000175305.18	yes
