file_name	ENST00000670009:1	ENST00000664214:1	ENST00000692980:1	ENST00000658840:1	ENST00000517838:6	ENST00000665372:1	ENST00000665737:1	ENST00000658305:1	ENST00000690350:1	ENST00000667305:1	ENST00000667714:1	ENST00000657289:1	ENST00000668098:1	ENST00000671092:1	ENST00000667630:1	ENST00000520913:2	ENST00000666147:1	ENST00000656999:1	ENST00000662766:1	condition	pam50_subtype
8f08cee9-a91f-4305-bf8d-efeee9cd386c	203.361206	180.890725	0	194.745339	73.167355	0	16.993911	0	30.105457	123.939137	37.488401	0	39.911648	67.801297	40.534338	0	0	12.570436	20.356044	Tumor	LumA
8f4d89ea-3207-4fa7-9898-9b78cb971577	202.176931	9.580967	0	64.674581	47.432313	0	48.959005	0	13.828513	33.21607	35.597353	39.452458	17.730945	70.482033	64.448087	5.871904	0	8.596817	31.403982	Tumor	LumA
8f51e90d-f617-4ed2-bbc7-7bcd92d1963d	102.046735	38.53019	0	42.209035	53.219573	0	72.430351	0	0	9.801604	35.456768	0	0	33.20047	24.702386	0	17.942078	24.165285	18.599726	Tumor	Basal
8fff7b55-a9c5-4179-a86a-80bff4fed1b0	210.064072	32.377366	0	114.116848	54.98985	0	10.827336	0	0	0	33.951688	0	0	26.858148	12.932544	44.231494	28.698138	6.638325	0	Tumor	LumB
9053485e-19f7-4d2b-b4b6-361d908cc708	126.199006	132.10827	0	92.417611	77.153853	0	0	0	0	14.491258	0	66.746736	0	25.917788	31.688757	19.124687	25.025272	13.669157	13.140654	Tumor	LumA
90950125-1b6b-499d-97e2-5d6b78b3e6fe	0	83.915853	0	12.84423	63.223133	0	0	0	4.960215	0	0	89.497626	0	16.653814	8.939273	0	51.4986	0	31.290114	Tumor	Basal
914508e1-ccc8-47ff-a225-7aca326a54dd	0	31.934611	0	99.303388	91.659058	0	0	0	0	27.297792	0	0	54.576666	33.490954	29.196961	0	16.030217	5.350398	15.169599	Tumor	LumA
91941243-48d2-4416-b104-0affb8c46316	0	0	0	33.023311	74.499265	0	0	0	12.188712	31.456248	0	0	0	12.683273	5.093617	19.113734	20.87076	0	0	Tumor	LumA
92914efd-97af-48e2-b097-e91129f8c1b2	26.397688	0	0	1.92905	0	0	14.870487	0	0	0	0	0	0	4.154213	0.589564	6.310236	0	0	0	Tumor	Basal
92b7faad-a817-4464-a074-9b64bf25fad5	0	93.222717	38.444907	86.101164	51.967564	0	0	0	0	0	38.537074	0	39.69566	95.581097	62.200648	68.059765	0	56.481653	21.985399	Tumor	LumB
92e1baff-0f43-4841-aab9-fdda0078673a	0	70.125352	0	88.070898	88.797908	0	23.379766	0	7.881278	0	0	110.59543	0	51.896786	39.23435	0	45.202061	7.95827	39.774765	Tumor	LumA
934807ee-e303-43b7-938a-1721c6c31584	177.113532	0	44.430436	14.647694	0	8.961171	0	0	32.246214	0	0	54.048175	0	11.4083	8.421068	0	0	4.717542	0	Tumor	Basal
93cc1307-7138-4547-a9a2-8a5398815c01	124.417139	78.33543	5.132774	14.541663	0	0	0	0	0	8.67994	12.959984	0	0	11.232565	6.301521	20.813016	0	1.277669	12.145169	Tumor	Her2
93f8d395-2512-41fc-992e-236b706dd281	216.602839	122.382942	27.966218	64.173476	26.434592	0	10.982305	0	15.75414	50.87467	44.514447	0	0	28.014084	19.343258	0	0	15.536102	25.78278	Tumor	LumB
948f1e9e-702b-4f42-a766-fb6b4976b14d	144.335017	100.151675	7.099607	88.492656	115.336725	0	57.439742	0	0	0	0	0	61.451757	63.766932	96.344063	0	58.995122	24.008631	8.155816	Tumor	LumB
94e93460-c9fc-48f9-a2de-3722231f54b6	407.270142	0	0	87.34536	41.17116	0	73.499188	0	0	0	0	59.399568	0	30.483927	22.001839	116.812624	70.181397	28.243951	0	Tumor	Her2
951bac30-0a85-4dd8-8470-c1a3b84817f9	61.923133	103.396773	4.281711	40.884148	35.789443	0	18.665309	0	0	0	0	0	15.071398	24.272896	9.715044	12.366669	0	7.9599	0	Tumor	LumA
952883cf-24c2-4ed7-bb96-3f736c15ae3d	0	267.133129	49.908748	11.584056	0	10.092933	0	0	25.527269	22.578019	0	18.195787	0	4.886339	5.866861	0	0	0	0	Tumor	Basal
952e9924-3a48-4572-bf4c-95e5049e452d	196.102871	0	0	110.132567	47.311968	0	31.170228	0	0	39.014529	36.495461	0	0	24.355517	35.26426	0	0	0	0	Tumor	LumA
956570e5-7ed4-4d17-a830-f1bc67a7af15	0	133.776821	4.005049	163.477361	49.715021	0	0	0	22.847354	0	28.787	36.745837	23.515871	37.109946	29.537745	0	0	9.242385	58.277418	Tumor	LumB
95bb2613-9194-434c-801b-fd18aa183f6a	0	0	0	18.965	0	0	0	0	0	15.292387	0	0	0	4.641572	7.000114	0	0	1.86655	5.891766	Tumor	LumA
960df455-dab8-4c59-9a99-579cdabe4d19	305.257461	79.145189	0	32.537718	0	0	0	0	17.372092	19.226985	32.502294	0	0	27.760433	16.537084	33.945005	0	9.068055	4.90119	Tumor	LumB
9634f770-bc93-4dfa-949c-98a6da30a102	364.301705	52.606916	0	56.395492	0	0	39.129114	0	0	29.202217	63.685663	0	0	62.012409	77.418628	69.838863	15.965451	30.194352	0	Tumor	LumA
96668a75-e21b-482f-b699-0b5282909a9a	186.303257	152.614247	0	82.703634	46.58335	0	0	0	8.232746	27.962956	0	0	23.016886	33.849437	17.057108	0	0	5.734812	4.558994	Tumor	Her2
967f7008-e212-4114-ab43-dc2a6295f80c	33.299709	49.516916	0	137.557194	56.092009	0	5.520989	12.770015	0	0	0	28.936713	0	26.429032	32.390143	0	27.506155	0	0	Tumor	LumA
96cd848e-50fc-4244-beec-8d18b1703fff	93.582216	0	0	18.874058	26.910844	0	9.652575	0	0	25.226084	11.63633	0	8.938007	11.652069	8.99088	7.701413	0	5.415818	0	Tumor	LumB
97a50d88-e662-43d5-9cef-2915545e8968	369.871027	217.153877	0	147.273415	181.585914	0	30.426408	0	20.7687	102.768027	0	0	134.775659	84.527326	52.916905	0	0	82.807434	49.933035	Tumor	LumB
9899646e-d5be-4429-a7f2-0251bed9721d	395.397928	255.940755	0	72.9554	0	0	75.133652	0	0	0	84.156008	0	0	30.376447	21.692046	0	0	22.860742	41.614144	Tumor	LumA
98f3d2d7-edc4-40aa-b09a-63f8abd2b528	782.985705	27.927526	564.269147	87.080557	0	2.112739	0	7.128827	666.830751	0	0	0	0	23.310915	5.907688	0	0	6.770172	2.669854	Tumor	Basal
9907c264-961c-46b4-94a8-bf7e234621d8	68.085748	34.338355	0	38.387748	55.674156	0	46.031911	0	21.840026	0	24.756071	39.298496	0	30.391033	27.737979	0	22.52688	7.60383	0	Tumor	LumA
