Gene	Model	Statistic
ENSG00000172869.15	LM	0.128342432900243
ENSG00000109458.10	LM	0.128198123316569
ENSG00000173230.17	LM	0.128144502841303
ENSG00000173457.11	LM	0.127756547725837
ENSG00000254858.10	LM	0.127706604573744
ENSG00000103121.9	LM	0.127704163959706
ENSG00000071626.17	LM	0.127701227397254
ENSG00000185591.10	LM	0.127681647173883
ENSG00000272054.1	LM	0.127640286083151
ENSG00000168970.22	LM	0.127604018464537
ENSG00000163539.18	LM	0.12760100959419
ENSG00000114742.14	LM	0.127579188412827
ENSG00000263001.8	LM	0.127238498258718
ENSG00000005483.23	LM	0.127150419536858
ENSG00000233818.1	LM	0.127135326731799
ENSG00000146109.5	LM	0.127047429476798
ENSG00000240682.10	LM	0.126864233255243
ENSG00000159905.15	LM	0.126672139674713
ENSG00000286555.1	LM	0.126635737161682
ENSG00000152443.13	LM	0.126614664632959
ENSG00000039319.17	LM	0.126600223038151
ENSG00000273796.2	LM	0.12659643669234
ENSG00000140382.15	LM	0.126568265630496
ENSG00000264350.1	LM	0.126384908567586
ENSG00000085224.23	LM	0.1263836293192
ENSG00000163191.6	LM	0.126280587035128
ENSG00000196233.14	LM	0.126214949118294
ENSG00000070761.8	LM	0.126193045712561
ENSG00000105669.14	LM	0.126007654874051
ENSG00000131351.15	LM	0.125792949041306
ENSG00000230590.13	LM	0.125778065700204
ENSG00000067369.14	LM	0.125608979094219
ENSG00000136522.14	LM	0.125417732068252
ENSG00000142784.16	LM	0.125411425318197
ENSG00000170236.16	LM	0.125350635487379
ENSG00000070366.14	LM	0.125217406239535
ENSG00000198961.10	LM	0.125135753668614
ENSG00000096746.18	LM	0.125059708113389
ENSG00000279861.1	LM	0.125037491794667
ENSG00000277687.1	LM	0.124910381635366
ENSG00000148362.11	LM	0.124884652716994
ENSG00000260618.1	LM	0.124865619480253
ENSG00000131148.9	LM	0.124790183103197
ENSG00000163945.19	LM	0.124757270358824
ENSG00000112651.12	LM	0.124558411578454
ENSG00000138668.20	LM	0.124381517756377
ENSG00000172757.13	LM	0.124210060863416
ENSG00000108107.15	LM	0.124149478604699
ENSG00000070785.17	LM	0.124112526536682
ENSG00000074621.14	LM	0.12398386328396
ENSG00000172915.20	LM	0.123976232058123
ENSG00000115760.16	LM	0.123878848127802
