	246330536:246330538	245764148:245764150	246335473:246335475	246355093:246355095	245928032:245928034	246326394:246326396	245858669:245858671	246327336:246327338	246417408:246417410	245915639:245915641	246483764:246483766	245749663:245749665	245953354:245953356	245814414:245814416	246053068:246053070	245863885:245863887	246186941:246186943	245929936:245929938	pam50_subtype	label
671bc03b-e3a8-45f6-88e4-ce138c716886	0.94	0.9856115107913668	0.7843137254901961	0.9821428571428572	0.9724770642201837	1.0	0.9736842105263158	0.9888888888888888	1.0	0.9923664122137404	1.0	1.0	1.0	1.0	1.0	0.9857142857142858	1.0	0.9222222222222224	LumA	Tumor
674907a1-381a-4952-924a-52e2adf5ad19	0.988095238095238	0.98	0.8548387096774194	0.9761904761904762	0.9473684210526316	0.9907407407407408	0.9746835443037974	1.0	0.975609756097561	0.9712230215827338	1.0	0.9951690821256038	1.0	1.0	0.990990990990991	0.9838709677419356	0.9907407407407408	0.963963963963964	LumA	Tumor
676cce88-9f6e-4490-8e73-c0e88bd00075	1.0	0.9230769230769232	0.8657718120805369	1.0	0.9748743718592964	0.9853658536585366	0.9835164835164836	0.99438202247191	1.0	0.9601990049751244	1.0	0.9877551020408164	1.0	1.0	1.0	0.965174129353234	0.995049504950495	0.9707317073170731	LumA	Tumor
6798cbfe-7aca-4f33-b4fc-162bf579a303	1.0	1.0	1.0	1.0	0.9827586206896552	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.94	1.0	0.9174311926605504	Her2	Tumor
682169e0-f36b-430c-896f-c93668b4ce78	1.0	0.9653179190751444	0.7105263157894737	1.0	0.9942857142857144	0.9954954954954957	0.927710843373494	0.9753086419753086	1.0	0.9523809523809524	1.0	0.9839228295819936	1.0	1.0	1.0	0.9767441860465116	0.990909090909091	0.9761904761904762	LumB	Tumor
68503654-dd77-48f1-abab-aca55258dca4	1.0	0.9836065573770492	0.9545454545454546	1.0	0.9574468085106383	0.9583333333333334	0.7702702702702703	0.9772727272727272	1.0	0.9807692307692308	1.0	0.9918032786885246	0.9791666666666666	1.0	0.9777777777777776	0.9777777777777776	1.0	0.9591836734693876	Basal	Tumor
687d5cbd-0877-4e31-86d7-9fcb32a82f10	1.0	0.9504504504504504	0.7906976744186046	1.0	1.0	1.0	0.9384615384615383	1.0	1.0	0.9326923076923076	1.0	0.977667493796526	0.9903846153846154	1.0	1.0	0.994186046511628	1.0	1.0	LumB	Tumor
689ba70a-9664-459e-aee5-fd16b3b993a8	1.0	0.958041958041958	0.8777777777777778	0.9830508474576272	0.9683544303797468	1.0	0.944055944055944	0.9865771812080536	1.0	0.9416666666666668	1.0	0.9787234042553192	1.0	0.9857142857142858	1.0	0.972972972972973	0.9866666666666668	0.9936708860759492	LumB	Tumor
691c297b-b48d-4e65-84d4-cb4fcdf03fc0	1.0	0.9518072289156626	0.8888888888888888	1.0	1.0	0.9850746268656716	0.9626168224299064	1.0	1.0	0.9342105263157896	1.0	0.9914529914529916	1.0	1.0	1.0	0.9888888888888888	0.9696969696969696	0.9393939393939394	Basal	Tumor
692ea666-b4ac-4e92-b712-96a67edaef56	0.9937106918238994	0.9716981132075472	0.8925619834710744	1.0	0.9726775956284152	1.0	0.9815668202764976	0.9823529411764704	1.0	0.9612903225806452	0.9886363636363636	0.9927007299270072	0.9934640522875816	1.0	1.0	0.9612903225806452	0.9935897435897436	0.9444444444444444	LumB	Tumor
