Gene	mirnaTG
ENSG00000113739.11	no
ENSG00000168389.18	no
ENSG00000142102.16	no
ENSG00000140443.15	yes
ENSG00000239887.6	no
ENSG00000147889.18	no
ENSG00000007402.12	no
ENSG00000249602.1	no
ENSG00000156011.19	yes
ENSG00000266066.1	no
ENSG00000137573.14	no
ENSG00000256616.3	no
ENSG00000263155.6	no
ENSG00000278918.1	no
ENSG00000073849.16	no
ENSG00000209082.1	no
ENSG00000103449.13	no
ENSG00000151136.15	no
ENSG00000012171.20	no
ENSG00000165238.17	no
ENSG00000196684.12	no
ENSG00000170017.12	yes
ENSG00000134830.6	no
ENSG00000227953.7	no
ENSG00000152377.15	no
ENSG00000276547.2	no
ENSG00000205517.13	no
ENSG00000167799.10	no
ENSG00000137878.17	no
ENSG00000108932.13	no
ENSG00000103056.12	no
ENSG00000205502.4	no
