Gene	Model	Statistic
ENSG00000217930.8	LM	0.156941253759466
ENSG00000101104.13	LM	0.156923629510489
ENSG00000184162.15	LM	0.156567937712878
ENSG00000288756.2	LM	0.156149957275752
ENSG00000166803.14	LM	0.156086540496299
ENSG00000172366.20	LM	0.155117489926976
ENSG00000076944.18	LM	0.155106407647898
ENSG00000242125.3	LM	0.155096789530654
ENSG00000147677.12	LM	0.154711316712825
ENSG00000247077.8	LM	0.154481031760031
ENSG00000124785.9	LM	0.154293123413249
ENSG00000132357.14	LM	0.154170671067501
ENSG00000154736.6	LM	0.153675868556096
ENSG00000077348.10	LM	0.153346560204879
ENSG00000145861.9	LM	0.153312208317463
ENSG00000075702.19	LM	0.153231461988871
ENSG00000145293.17	LM	0.152916096641499
ENSG00000079308.21	LM	0.152779543502664
ENSG00000280055.2	LM	0.152707568452812
ENSG00000169641.15	LM	0.152314292281474
ENSG00000197442.11	LM	0.152289871693133
ENSG00000147251.16	LM	0.152239714867839
ENSG00000079739.17	LM	0.152237788927845
ENSG00000250571.7	LM	0.152225878237522
ENSG00000197852.12	LM	0.152097950942051
ENSG00000236305.3	LM	0.152022126561116
ENSG00000095637.23	LM	0.151815755789407
ENSG00000088340.17	LM	0.151772313670353
ENSG00000178719.17	LM	0.151572084841497
ENSG00000131386.20	LM	0.151505568439648
ENSG00000163468.15	LM	0.151488558292958
ENSG00000196756.15	LM	0.151247681825001
ENSG00000196793.14	LM	0.150713350873828
ENSG00000137076.22	LM	0.150695470757102
ENSG00000183309.12	LM	0.150564608930162
ENSG00000112531.17	LM	0.150502250249459
ENSG00000256525.8	LM	0.150415481334132
ENSG00000101444.13	LM	0.150252056521014
ENSG00000181392.17	LM	0.150078876905979
ENSG00000118898.16	LM	0.149495483567529
ENSG00000176438.13	LM	0.149481470615449
ENSG00000179698.14	LM	0.149452326919138
ENSG00000136982.6	LM	0.149248104514373
ENSG00000278275.2	LM	0.149200542212277
ENSG00000171163.16	LM	0.148837021070519
ENSG00000177119.17	LM	0.148776572818523
ENSG00000167371.21	LM	0.148625774405568
ENSG00000182307.14	LM	0.148569777018886
ENSG00000144648.16	LM	0.148286890708091
ENSG00000164695.5	LM	0.148277281819457
ENSG00000165895.19	LM	0.14815652521918
ENSG00000264577.1	LM	0.148112189474377
ENSG00000174945.14	LM	0.148091988453415
ENSG00000109610.6	LM	0.147854352920792
ENSG00000154473.18	LM	0.147627855547323
ENSG00000154920.15	LM	0.147553893204446
ENSG00000174804.4	LM	0.147539085476205
ENSG00000266402.5	LM	0.147395327148484
ENSG00000289094.1	LM	0.147100002372901
ENSG00000154743.19	LM	0.146902010211544
ENSG00000236915.3	LM	0.146793714740155
ENSG00000173482.17	LM	0.146756749891913
ENSG00000140474.14	LM	0.146605416266548
ENSG00000079819.20	LM	0.146464346313033
ENSG00000129354.12	LM	0.146263462726774
ENSG00000255857.8	LM	0.146090185018489
ENSG00000177732.9	LM	0.145566451624467
ENSG00000048162.22	LM	0.145550356077845
ENSG00000253669.4	LM	0.145440783234958
ENSG00000108352.13	LM	0.144924946925799
ENSG00000174059.17	LM	0.144874177265762
ENSG00000155100.11	LM	0.14471237650413
ENSG00000007376.8	LM	0.144643704378656
ENSG00000123975.5	LM	0.144451588062128
ENSG00000261437.1	LM	0.144415365100172
ENSG00000151468.11	LM	0.144378291850523
ENSG00000003402.21	LM	0.144308411892434
ENSG00000104765.16	LM	0.144241905696452
ENSG00000147654.16	LM	0.144043537091397
ENSG00000103423.14	LM	0.14398463246752
ENSG00000111665.12	LM	0.143977357647907
ENSG00000196150.14	LM	0.143925236368731
ENSG00000064042.18	LM	0.143835618234644
ENSG00000286223.1	LM	0.143592965243685
ENSG00000261371.6	LM	0.143562613595653
ENSG00000180198.17	LM	0.14352853512999
ENSG00000109065.12	LM	0.143330068318142
ENSG00000131188.12	LM	0.143298638208754
ENSG00000079616.14	LM	0.143187077237071
ENSG00000149927.18	LM	0.1431435973924
ENSG00000185842.16	LM	0.143092000492367
ENSG00000185339.10	LM	0.143084637484312
ENSG00000073712.15	LM	0.142830487684602
ENSG00000119969.16	LM	0.14255705270359
ENSG00000070778.13	LM	0.14250440998156
ENSG00000069122.19	LM	0.142480612058139
ENSG00000031081.11	LM	0.142469010481989
ENSG00000170881.5	LM	0.142215868553221
ENSG00000167747.17	LM	0.142168668450368
ENSG00000182774.13	LM	0.142140729884031
ENSG00000076706.17	LM	0.142079276396605
ENSG00000144824.21	LM	0.142067643979088
ENSG00000117519.16	LM	0.141945925849191
ENSG00000158402.21	LM	0.141700381444855
ENSG00000181191.12	LM	0.141688118562194
ENSG00000139263.12	LM	0.141658671843868
ENSG00000162817.7	LM	0.141540050441097
ENSG00000136986.10	LM	0.14124671448957
ENSG00000177542.11	LM	0.141241383269314
ENSG00000156471.13	LM	0.140928223862077
ENSG00000163882.10	LM	0.140811464866614
ENSG00000122707.12	LM	0.140716562350405
ENSG00000287750.3	LM	0.14068236801198
ENSG00000137727.13	LM	0.140567535520934
ENSG00000181097.5	LM	0.140397867501286
ENSG00000091986.16	LM	0.140170735809399
ENSG00000165028.12	LM	0.140091207973917
ENSG00000275234.1	LM	0.139981826115177
ENSG00000141570.11	LM	0.139926857942609
ENSG00000160972.10	LM	0.139679348532537
ENSG00000073350.14	LM	0.139667527844764
ENSG00000119865.9	LM	0.139623547616194
ENSG00000163430.13	LM	0.139490689160901
