"Target","Evidence"
"ARSD","predicted (union)"
"ARSE","predicted (union)"
"ARSJ","predicted (intersection) + predicted (union)"
"ARSK","predicted (union)"
"ART4","predicted (union)"
"ARX","predicted (intersection) + predicted (union)"
"AS3MT","predicted (union)"
"ASAH2","predicted (union)"
"ASAH2B","predicted (union)"
"ASAP1","predicted (union)"
"ASAP2","predicted (intersection) + predicted (union)"
"ASB14","predicted (union)"
"ASB15","predicted (intersection) + predicted (union)"
"ASB2","predicted (union)"
"ASB5","predicted (union)"
"ASB6","predicted (union)"
"ASB7","predicted (union)"
"ASB9","predicted (union)"
"ASCC3","predicted (intersection) + predicted (union)"
"ASCL1","predicted (union)"
"ASNSD1","predicted (intersection) + predicted (union)"
"ASPH","predicted (intersection) + predicted (union)"
"ASPM","predicted (union)"
"ASPN","predicted (intersection) + predicted (union)"
"ASXL2","predicted (intersection) + predicted (union)"
"ASXL3","predicted (intersection) + predicted (union)"
"ATAD1","predicted (union)"
"ATAD2","predicted (intersection) + predicted (union)"
"ATAD2B","predicted (union)"
"ATAD3C","predicted (union)"
"ATAD5","experimental (all) + predicted (union)"
"ATAT1","predicted (intersection) + predicted (union)"
"ATE1","predicted (union)"
"ATF2","predicted (union)"
"ATF6","predicted (intersection) + predicted (union)"
"ATF7","predicted (union)"
"ATF7IP","predicted (intersection) + predicted (union)"
"ATF7IP2","predicted (union)"
"ATG10","predicted (intersection) + predicted (union)"
"ATG12","experimental (strong) + experimental (all) + predicted (union)"
"ATG14","predicted (union)"
"ATG2B","predicted (union)"
"ATG3","predicted (union)"
"ATG4C","predicted (union)"
"ATG5","predicted (union)"
"ATL1","predicted (union)"
"ATL3","predicted (intersection) + predicted (union)"
"ATM","predicted (intersection) + predicted (union)"
"ATMIN","predicted (union)"
"ATOH8","predicted (union)"
"ATP11B","predicted (union)"
"ATP11C","predicted (union)"
"ATP12A","predicted (union)"
"ATP1A2","predicted (intersection) + predicted (union)"
"ATP1B2","predicted (union)"
"ATP1B4","predicted (intersection) + predicted (union)"
"ATP2B1","predicted (union)"
"ATP2C1","predicted (union)"
"ATP5IF1","predicted (union)"
"ATP5MC3","predicted (intersection) + predicted (union)"
"ATP5MF-PTCD1","predicted (union)"
"ATP5MG","predicted (union)"
"ATP5MGL","predicted (union)"
"ATP5PB","predicted (intersection) + predicted (union)"
"ATP6V0A2","predicted (intersection) + predicted (union)"
"ATP6V0E1","predicted (intersection) + predicted (union)"
"ATP6V1C2","predicted (union)"
"ATP6V1G2","predicted (union)"
"ATP6V1G3","predicted (union)"
"ATP7A","predicted (union)"
"ATP8A1","predicted (intersection) + predicted (union)"
"ATP8B4","predicted (intersection) + predicted (union)"
"ATRAID","predicted (union)"
"ATRN","predicted (union)"
"ATRNL1","predicted (intersection) + predicted (union)"
"ATXN1","predicted (union)"
"ATXN1L","predicted (union)"
"ATXN7L1","predicted (intersection) + predicted (union)"
"AUH","predicted (union)"
"AURKC","predicted (intersection) + predicted (union)"
"AUTS2","predicted (intersection) + predicted (union)"
"AVL9","predicted (union)"
"AVPR1A","predicted (union)"
"AWAT2","predicted (union)"
"AXL","predicted (intersection) + predicted (union)"
"AZI2","predicted (union)"
"AZIN1","predicted (union)"
"B2M","predicted (union)"
"B3GALNT2","predicted (union)"
"B3GALT1","predicted (union)"
"B3GALT2","predicted (union)"
"B3GALT5","predicted (intersection) + predicted (union)"
"B3GAT2","predicted (union)"
"B3GNT7","predicted (intersection) + predicted (union)"
"B4GALT1","predicted (union)"
"B4GALT4","predicted (union)"
"B4GALT6","predicted (intersection) + predicted (union)"
"BAALC","predicted (union)"
"BABAM2","predicted (union)"
"BACE1","predicted (union)"
"BACE2","predicted (union)"
"BACH2","predicted (intersection) + predicted (union)"
"BAG4","predicted (intersection) + predicted (union)"
"BAHCC1","predicted (intersection) + predicted (union)"
"BAIAP2L1","predicted (union)"
