"Target","Evidence"
"CD99L2","predicted (union)"
"CDADC1","predicted (intersection) + predicted (union)"
"CDC14B","predicted (intersection) + predicted (union)"
"CDC20B","predicted (union)"
"CDC25A","predicted (union)"
"CDC27","predicted (intersection) + predicted (union)"
"CDC42EP3","predicted (intersection) + predicted (union)"
"CDC42SE2","predicted (union)"
"CDC5L","predicted (union)"
"CDC6","predicted (union)"
"CDC73","predicted (intersection) + predicted (union)"
"CDCP2","predicted (union)"
"CDH1","experimental (strong) + experimental (all) + predicted (union)"
"CDH11","predicted (intersection) + predicted (union)"
"CDH20","predicted (union)"
"CDH5","predicted (union)"
"CDH6","predicted (union)"
"CDH7","predicted (union)"
"CDH8","predicted (intersection) + predicted (union)"
"CDIPT","predicted (intersection) + predicted (union)"
"CDK1","predicted (union)"
"CDK13","predicted (intersection) + predicted (union)"
"CDK14","predicted (union)"
"CDK15","predicted (union)"
"CDK17","predicted (union)"
"CDK19","predicted (union)"
"CDK2AP1","predicted (union)"
"CDKL3","predicted (union)"
"CDKN2AIPNL","predicted (union)"
"CDKN2B","predicted (union)"
"CDKN2D","predicted (union)"
"CDON","predicted (union)"
"CDS2","predicted (intersection) + predicted (union)"
"CDV3","predicted (intersection) + predicted (union)"
"CDX2","predicted (intersection) + predicted (union)"
"CDYL2","predicted (intersection) + predicted (union)"
"CEACAM7","predicted (union)"
"CEBPD","predicted (union)"
"CEBPZOS","predicted (union)"
"CELF1","predicted (union)"
"CELSR1","predicted (union)"
"CEMIP","predicted (intersection) + predicted (union)"
"CENPA","predicted (union)"
"CENPC","predicted (intersection) + predicted (union)"
"CENPF","predicted (union)"
"CENPN","predicted (union)"
"CENPO","predicted (union)"
"CENPP","predicted (union)"
"CEP104","predicted (intersection) + predicted (union)"
"CEP120","predicted (union)"
"CEP162","predicted (intersection) + predicted (union)"
"CEP41","predicted (intersection) + predicted (union)"
"CEP44","predicted (union)"
"CEP57","predicted (union)"
"CEP57L1","predicted (union)"
"CEP68","predicted (union)"
"CEP72","predicted (intersection) + predicted (union)"
"CEP76","predicted (intersection) + predicted (union)"
"CEP78","predicted (intersection) + predicted (union)"
"CEP85L","predicted (union)"
"CEP97","predicted (intersection) + predicted (union)"
"CERCAM","predicted (union)"
"CERK","predicted (union)"
"CERKL","predicted (union)"
"CERS6","predicted (union)"
"CETN2","predicted (union)"
"CFAP44","predicted (union)"
"CFAP97","predicted (union)"
"CFD","predicted (intersection) + predicted (union)"
"CFDP1","predicted (union)"
"CFHR3","predicted (union)"
"CFHR4","predicted (intersection) + predicted (union)"
"CFLAR","predicted (intersection) + predicted (union)"
"CGGBP1","predicted (union)"
"CGN","predicted (union)"
"CGNL1","predicted (union)"
"CGRRF1","predicted (union)"
"CH25H","predicted (union)"
"CHAMP1","predicted (union)"
"CHCHD7","predicted (union)"
"CHD1","predicted (union)"
"CHD5","predicted (union)"
"CHD7","predicted (intersection) + predicted (union)"
"CHDH","predicted (union)"
"CHEK1","predicted (intersection) + predicted (union)"
"CHERP","predicted (union)"
"CHI3L1","predicted (intersection) + predicted (union)"
"CHIC1","predicted (union)"
"CHIC2","predicted (intersection) + predicted (union)"
"CHMP3","predicted (union)"
"CHMP5","predicted (union)"
"CHORDC1","predicted (union)"
"CHRFAM7A","predicted (union)"
"CHRNA2","predicted (union)"
"CHRNA3","predicted (union)"
"CHRNA4","predicted (intersection) + predicted (union)"
"CHRNB2","predicted (union)"
"CHRNB3","predicted (union)"
"CHRND","predicted (union)"
"CHST15","predicted (union)"
"CHST3","predicted (union)"
"CHST9","predicted (union)"
"CHSY3","predicted (union)"
"CHUK","predicted (intersection) + predicted (union)"
"CHURC1-FNTB","predicted (intersection) + predicted (union)"
"CIAO1","predicted (intersection) + predicted (union)"
"CIAO2A","predicted (union)"
"CIDEB","predicted (union)"
"CIITA","predicted (union)"
"CIP2A","predicted (union)"
"CIR1","predicted (union)"
"CISD1","predicted (intersection) + predicted (union)"
"CISD2","predicted (union)"
"CISH","predicted (intersection) + predicted (union)"
"CIT","predicted (union)"
"CITED2","predicted (union)"
"CKAP2","predicted (intersection) + predicted (union)"
"CLASP2","predicted (union)"
"CLCA2","predicted (union)"
"CLCC1","predicted (intersection) + predicted (union)"
"CLCN5","predicted (intersection) + predicted (union)"
"CLDN12","predicted (intersection) + predicted (union)"
"CLDN22","predicted (union)"
"CLEC12B","predicted (intersection) + predicted (union)"
"CLEC14A","predicted (union)"
"CLEC18B","predicted (union)"
"CLEC1A","predicted (union)"
"CLEC4C","predicted (union)"
"CLEC4D","predicted (intersection) + predicted (union)"
"CLGN","predicted (union)"
"CLIC4","predicted (union)"
"CLIC5","predicted (intersection) + predicted (union)"
"CLK4","predicted (union)"
"CLMN","predicted (union)"
"CLN5","predicted (union)"
"CLN8","predicted (union)"
"CLNK","predicted (intersection) + predicted (union)"
"CLP1","predicted (union)"
"CLPB","predicted (intersection) + predicted (union)"
"CLPX","predicted (union)"
"CLSTN2","predicted (intersection) + predicted (union)"
"CLVS2","predicted (intersection) + predicted (union)"
"CLYBL","predicted (union)"
"CMAS","predicted (intersection) + predicted (union)"
"CMC1","predicted (union)"
"CMIP","experimental (all) + predicted (union)"
"CMPK2","predicted (intersection) + predicted (union)"
"CMTM3","predicted (union)"
"CMYA5","predicted (intersection) + predicted (union)"
"CNBP","predicted (union)"
"CNDP2","predicted (union)"
"CNIH1","experimental (all)"
